vs_name,vs_id,ftm_name,ftm_id
eagle forum of alabama,369,Eagle Forum Of Alabama,27603510
business council of alabama,2586,Business Council Of Alabama,6973410
national federation of independent business alabama,608,National Federation Of Independent Business Alabama,46875331
south alabama common sense campaign tea party,3024,TimeoutException,TimeoutException
alabama state employees association,1454,Alabama State Employees Association,3061
alabama grocers association,2587,Alabama Grocers Association,5680
conservative christians of alabama,2201,TimeoutException,TimeoutException
professional fire fighters of alabama,2952,Professional Fire Fighters Association Of Alabama,19461
league of southeastern credit unions,1991,League Of Southeastern Credit Unions,39500224
league of southeastern credit unions,1991,League Of Southeastern Credit Unions,7072959
alabama retail association,2593,Alabama Retailers Association,29616080
alabama retail association,2593,"Retail Association, Alabama",27603298
alabama retail association,2593,Retailers Association Of Alabama,55657698
home builders of association of alabama,2588,TimeoutException,TimeoutException
alaska state chamber of commerce,689,Alaska State Chamber Of Commerce,21488
national rifle association political victory fund,1557,TimeoutException,TimeoutException
national education association alaska,213,National Education Association Alaska,7535011
associated builders and contractors of alaska,2160,TimeoutException,TimeoutException
alaska support industry alliance,2095,Alaska Support Industry Alliance,10239759
the alaska center,2807,Alaska Center For The Environment,10984504
the alaska center,2807,The Alaska Center Ie,53917523
prosperity alaska,1990,Prosperity Alaska,32207180
alaska outdoor council pac,1162,TimeoutException,TimeoutException
resource development council for alaska,2096,Resource Development Council For Alaska,10239770
the alaska fathers rights movement,2868,TimeoutException,TimeoutException
anchorage education association,2998,TimeoutException,TimeoutException
alaska professional fire fighters association,2825,Alaska Professional Fire Fighters Association,19431
planned parenthood votes northwest and hawaii,2467,TimeoutException,TimeoutException
national federation of independent business alaska,356,TimeoutException,TimeoutException
alaska public employees association alaska federation of teachers,1388,TimeoutException,TimeoutException
arizona chamber of commerce and industry,1054,TimeoutException,TimeoutException
naralarizona right to choose,91,TimeoutException,TimeoutException
center for arizona policy,1433,Center For Arizona Policy,10968
arizona disability advocacy coalition,279,TimeoutException,TimeoutException
az youth climate coalition,3089,TimeoutException,TimeoutException
arizona police association,1423,Arizona Police Association,10245094
arizona small business association,2078,Arizona Small Business Association,10945076
stonewall democrats of arizona,2367,Stonewall Democrats Of Arizona,8709376
arizona education association,123,Arizona Education Association,20198
arizona nurses association,1252,Arizona Nurses Association,26802601
arizona nurses association,1252,Arizona Nurses Association,8569540
arizona contractors association,259,Arizona Contractors Association,8425223
