vs_link,vs_name,vs_id,ftm_name,ftm_id
AL;https://justfacts.votesmart.org/interest-group/369/eagle-forum-of-alabama,eagle forum of alabama,369,Eagle Forum Of Alabama,27603510
AL;https://justfacts.votesmart.org/interest-group/2586/business-council-of-alabama,business council of alabama,2586,Business Council Of Alabama,6973410
AL;https://justfacts.votesmart.org/interest-group/2587/alabama-grocers-association,alabama grocers association,2587,Alabama Grocers Association,5680
AL;https://justfacts.votesmart.org/interest-group/2952/professional-fire-fighters-of-alabama,professional fire fighters of alabama,2952,Professional Fire Fighters Association Of Alabama,19461
AL;https://justfacts.votesmart.org/interest-group/608/national-federation-of-independent-business-alabama,national federation of independent business alabama,608,National Federation Of Independent Business Alabama,46875331
AL;https://justfacts.votesmart.org/interest-group/1991/league-of-southeastern-credit-unions,league of southeastern credit unions,1991,League Of Southeastern Credit Unions,39500224
AL;https://justfacts.votesmart.org/interest-group/1991/league-of-southeastern-credit-unions,league of southeastern credit unions,1991,League Of Southeastern Credit Unions,7072959
AL;https://justfacts.votesmart.org/interest-group/1454/alabama-state-employees-association,alabama state employees association,1454,Alabama State Employees Association,3061
AL;https://justfacts.votesmart.org/interest-group/2593/alabama-retail-association,alabama retail association,2593,Alabama Retailers Association,29616080
AL;https://justfacts.votesmart.org/interest-group/2593/alabama-retail-association,alabama retail association,2593,"Retail Association, Alabama",27603298
AL;https://justfacts.votesmart.org/interest-group/2593/alabama-retail-association,alabama retail association,2593,Retailers Association Of Alabama,55657698
AK;https://justfacts.votesmart.org/interest-group/689/alaska-state-chamber-of-commerce,alaska state chamber of commerce,689,Alaska State Chamber Of Commerce,21488
AK;https://justfacts.votesmart.org/interest-group/213/national-education-association-alaska,national education association alaska,213,National Education Association Alaska,7535011
AL;https://justfacts.votesmart.org/interest-group/2201/conservative-christians-of-alabama,conservative christians of alabama,2201,TimeoutException,TimeoutException
AL;https://justfacts.votesmart.org/interest-group/2588/home-builders-of-association-of-alabama,home builders of association of alabama,2588,TimeoutException,TimeoutException
AL;https://justfacts.votesmart.org/interest-group/3024/south-alabama-common-sense-campaign-tea-party,south alabama common sense campaign tea party,3024,TimeoutException,TimeoutException
AK;https://justfacts.votesmart.org/interest-group/2807/the-alaska-center,the alaska center,2807,Alaska Center For The Environment,10984504
AK;https://justfacts.votesmart.org/interest-group/2807/the-alaska-center,the alaska center,2807,The Alaska Center Ie,53917523
AK;https://justfacts.votesmart.org/interest-group/2095/alaska-support-industry-alliance,alaska support industry alliance,2095,Alaska Support Industry Alliance,10239759
AL;https://justfacts.votesmart.org/interest-group/1557/national-rifle-association-political-victory-fund,national rifle association political victory fund,1557,TimeoutException,TimeoutException
AK;https://justfacts.votesmart.org/interest-group/1990/prosperity-alaska,prosperity alaska,1990,Prosperity Alaska,32207180
AK;https://justfacts.votesmart.org/interest-group/1162/alaska-outdoor-council-pac,alaska outdoor council pac,1162,TimeoutException,TimeoutException
